genome_id,NCBI_genus,NCBI_species,accession_numbers_all,BioSample,completeness,topology_longest_contig,contigger_used,number_of_replicons_contigs,number_of_plasmids,number_of_extrachromosomal,longest_contig_length (bp),total_assembly_length (bp),nanopore_coverage,1034_N50 (bp),1034_total_read_length (bp,illumina_read_pairs,polypolish_depth_of_zero (bp),longest_contig_total_genes,longest_contig_CDS_w_protein,rRNAs_longest_contig,tRNAs_longest_contig,GC_percent_genome (%),complete_BUSCOs_act_class,complete_single_copy_BUSCOs_act_class,complete_duplicated_BUSCOs_act_class,fragmented_BUSCOs_act_class,missing_BUSCOs_act_class,total_BUSCOs_searched_act_class,TIR_length_complete_Streptomyces (bp),filtlong keep-percent,genus_gtdb,species_gtdb,MASH_species,assigned_species,Assembly,Level,WGS,Chrs,Strain,Taxonomy,source
NBC_00039,Kitasatospora,sp.,"CP108289,CP108290",SAMN24016150,chromosome,linear,flye-contigger NBC_00039,2,1,0,8179846,9033265,12x,13357,129310902,4599187,642,7967,7526,"11, 11, 11 (5S, 16S, 23S)",70,72.86,355,351,4,1,0,356,,,Kitasatospora,Kitasatospora sp.,sp_mash_068,Kitasatospora sp. (sp_mash_068),,,,,,,custom
NBC_00040,Streptomyces,sp.,"CP108287,CP108288",SAMN24016151,chromosome,linear,npgm-contigger NBC_00040,2,1,0,8859902,8938955,29x,13249,264846302,4663633,236,8096,7771,"7, 7, 7 (5S, 16S, 23S)",73,71.88,355,351,4,1,0,356,180959.0,,Streptomyces,Streptomyces spororaveus,,Streptomyces spororaveus,,,,,,,custom
NBC_00043,Streptomyces,atratus,"CP108276,CP108277,CP108278,CP108279,CP108280",SAMN24016152,chromosome,linear,flye-contigger NBC_00043,5,3,1,7598416,8740525,40x,35720,363990451,3856707,229,8019,7375,"6, 6, 6 (5S, 16S, 23S)",75,70.42,355,351,4,1,0,356,,50.0,Streptomyces,Streptomyces atratus_B,,Streptomyces atratus_B,,,,,,,custom
NBC_00044,Streptomyces,zaomyceticus,"CP108273,CP108274,CP108275",SAMN24016153,chromosome,linear,npgm-contigger NBC_00044,3,2,0,9226324,9595328,62x,20084,599544839,3575761,372,8469,8146,"7, 7, 7 (5S, 16S, 23S)",73,71.66,354,349,5,2,0,356,219845.0,,Streptomyces,Streptomyces zaomyceticus,,Streptomyces zaomyceticus,,,,,,,custom
NBC_00049,Streptomyces,sp.,"CP108264,CP108265",SAMN24016154,chromosome,linear,flye-contigger NBC_00049,2,0,1,8155131,8162174,29x,9298,256028650,2942602,512,7470,7198,"7, 7, 7 (5S, 16S, 23S)",72,72.0,355,353,2,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_115,Streptomyces sp. (sp_mash_115),,,,,,,custom
NBC_00077,Streptomyces,exfoliatus,"CP108238,CP108239,CP108240,CP108241",SAMN24016155,chromosome,linear,npgm-contigger NBC_00077,4,1,2,7891435,8099927,33x,5956,277697246,2957518,27,7265,6981,"7, 7, 7 (5S, 16S, 23S)",71,71.82,355,351,4,1,0,356,33780.0,,Streptomyces,Streptomyces exfoliatus,,Streptomyces exfoliatus,,,,,,,custom
NBC_00084,Streptomyces,zaomyceticus,"CP108230,CP108231,CP108232",SAMN24016156,chromosome,linear,npgm-contigger NBC_00084,3,2,0,9221812,9669843,63x,16734,608464050,4012635,507,8593,8251,"7, 7, 7 (5S, 16S, 23S)",77,71.64,354,349,5,2,0,356,227913.0,,Streptomyces,Streptomyces zaomyceticus,,Streptomyces zaomyceticus,,,,,,,custom
NBC_00085,Kitasatospora,sp.,CP108229,SAMN24016157,chromosome,linear,flye-contigger NBC_00085,1,0,0,9219708,9219708,49x,10919,483379381,4980312,196,8141,7678,"11, 11, 11 (5S, 16S, 23S)",70,72.79,354,349,5,2,0,356,,,Kitasatospora,Kitasatospora sp.,sp_mash_068,Kitasatospora sp. (sp_mash_068),,,,,,,custom
NBC_00086,Streptomyces,sp.,"JAPELZ010000001,JAPELZ010000002,JAPELZ010000003,JAPELZ010000004",SAMN24016158,near-complete,linear,flye-contigger NBC_00086,4,0,0,8201009,9003434,24x,21538,232679391,2761834,203,8149,7880,"7, 7, 7 (5S, 16S, 23S)",75,71.72,355,350,5,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_075,Streptomyces sp. (sp_mash_075),GCA_026343255.1,Contig,JAPELZ000000000,undefined,NBC_00086,Streptomyces sp. NBC_00086,custom
NBC_00090,Streptomyces,sp.,CP108224,SAMN24016159,chromosome,linear,flye-contigger NBC_00090,1,0,0,9250702,9250702,56x,19262,527435538,1744700,418,8213,7814,"7, 7, 7 (5S, 16S, 23S)",74,71.66,354,354,0,2,0,356,9974.0,,Streptomyces,Streptomyces sp.,sp_mash_129,Streptomyces sp. (sp_mash_129),,,,,,,custom
NBC_00094,Streptomyces,sp.,"JAPEMB010000001,JAPEMB010000002",SAMN24016160,near-complete,linear,flye-contigger NBC_00094,2,0,0,8133934,8191559,144x,12043,1201380156,2044831,100,7221,6952,"7, 7, 7 (5S, 16S, 23S)",71,71.75,354,352,2,2,0,356,,50.0,Streptomyces,Streptomyces sp.,sp_mash_082,Streptomyces sp. (sp_mash_082),GCA_026343125.1,Contig,JAPEMB000000000,undefined,NBC_00094,Streptomyces sp. NBC_00094,custom
NBC_00104,Streptomyces,sp.,"CP108215,CP108216",SAMN24016161,chromosome,linear,npgm-contigger NBC_00104,2,1,0,10684609,10698161,46x,12465,508158344,1361780,2683,9320,8850,"6, 6, 6 (5S, 16S, 23S)",74,70.86,355,351,4,1,0,356,137483.0,,Streptomyces,Streptomyces sp.,sp_mash_009,Streptomyces sp. (sp_mash_009),,,,,,,custom
NBC_00105,Streptomyces,sp.,"CP108213,CP108214",SAMN24016162,chromosome,linear,npgm-contigger NBC_00105,2,1,0,9538619,9662330,76x,12388,744669861,4854276,701,8908,8515,"7, 7, 7 (5S, 16S, 23S)",74,71.69,355,352,3,1,0,356,231191.0,,Streptomyces,Streptomyces sp.,sp_mash_025,Streptomyces sp. (sp_mash_025),,,,,,,custom
NBC_00106,Kitasatospora,indigofera,"CP108208,CP108209,CP108210,CP108211,CP108212",SAMN24016163,chromosome,linear,npgm-contigger NBC_00106,5,2,2,10282202,10478844,33x,22473,300835629,2805626,2031,9153,8719,"9, 9, 9 (5S, 16S, 23S)",88,73.48,355,354,1,0,1,356,,50.0,Kitasatospora,Kitasatospora indigofera,,Kitasatospora indigofera,,,,,,,custom
NBC_00122,Streptomyces,sp.,"CP108191,CP108192,CP108193",SAMN24016164,chromosome,linear,flye-contigger NBC_00122,3,2,0,7404623,7735569,116x,14960,918948525,1492391,293,7082,6808,"7, 7, 7 (5S, 16S, 23S)",75,71.68,355,354,1,1,0,356,13393.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_024,Streptomyces sp. (sp_mash_024),,,,,,,custom
NBC_00131,Streptomyces,virginiae,"CP108334,CP108335,CP108336,CP108337,CP108338",SAMN24016165,chromosome,linear,npgm-contigger NBC_00131,5,2,2,8691171,8915614,42x,7060,394934275,1869026,406,8166,7875,"7, 7, 7 (5S, 16S, 23S)",72,71.69,355,354,1,1,0,356,74804.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,,,,,,,custom
NBC_00133,Streptomyces,sp.,CP108183,SAMN24016166,chromosome,linear,flye-contigger NBC_00133,1,0,0,8919990,8919990,20x,11881,193538960,6480031,13,8050,7663,"6, 6, 6 (5S, 16S, 23S)",68,69.55,355,355,0,1,0,356,10416.0,,Streptomyces,Streptomyces sp.,sp_mash_050,Streptomyces sp. (sp_mash_050),,,,,,,custom
NBC_00138,Streptomyces,sp.,"CP108177,CP108178",SAMN24016167,chromosome,linear,flye-contigger NBC_00138,2,1,0,7961528,7979580,66x,16942,549665178,1322814,516,6805,6566,"6, 6, 6 (5S, 16S, 23S)",62,71.76,355,349,6,1,0,356,17659.0,,Streptomyces,Streptomyces sp.,sp_mash_060,Streptomyces sp. (sp_mash_060),,,,,,,custom
NBC_00141,Streptomyces,atratus,"JAPEMH010000001,JAPEMH010000002,JAPEMH010000003,JAPEMH010000004,JAPEMH010000005,JAPEMH010000006",SAMN24016168,near-complete,linear,flye-contigger NBC_00141,6,0,0,8687586,9173270,44x,5417,433213070,2773076,156,8390,7729,"7, 7, 7 (5S, 16S, 23S)",75,69.48,355,353,2,1,0,356,,,Streptomyces,Streptomyces atratus,,Streptomyces atratus,GCA_026342895.1,Contig,JAPEMH000000000,undefined,NBC_00141,Streptomyces atratus,custom
NBC_00148,Streptomyces,sp.,"CP108169,CP108170,CP108171",SAMN24016169,chromosome,linear,flye-contigger NBC_00148,3,1,1,8163685,8229620,43x,10383,374263449,2657850,63,7430,7240,"6, 6, 6 (5S, 16S, 23S)",70,71.46,355,354,1,1,0,356,,,Streptomyces,Streptomyces sp002711365,,Streptomyces sp002711365,,,,,,,custom
NBC_00156,Streptomyces,achromogenes,CP108164,SAMN24016170,chromosome,linear,npgm-contigger NBC_00156,1,0,0,8525584,8525584,49x,16633,472526302,5194452,20,7598,7288,"6, 6, 6 (5S, 16S, 23S)",69,72.36,355,354,1,1,0,356,119572.0,,Streptomyces,Streptomyces achromogenes,,Streptomyces achromogenes,,,,,,,custom
NBC_00158,Streptomyces,sp.,"CP108161,CP108162,CP108163",SAMN24016171,chromosome,linear,flye-contigger NBC_00158,3,2,0,7643608,8418073,46x,22855,402446006,6984200,2668,7736,7481,"7, 7, 7 (5S, 16S, 23S)",79,72.97,355,352,3,1,0,356,1345.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_202,Streptomyces sp. (sp_mash_202),,,,,,,custom
NBC_00160,Streptomyces,sp.,"JAPEMJ010000001,JAPEMJ010000002,JAPEMJ010000003,JAPEMJ010000004",SAMN24016172,near-complete,linear,flye-contigger NBC_00160,4,0,0,7243817,8606428,32x,18316,287749709,6213287,152,7788,7485,"7, 7, 7 (5S, 16S, 23S)",72,71.88,355,351,4,1,0,356,,,Streptomyces,Streptomyces spororaveus,,Streptomyces spororaveus,GCA_026342795.1,Contig,JAPEMJ000000000,undefined,NBC_00160,Streptomyces sp. NBC_00160,custom
NBC_00164,Streptomyces,virginiae,"CP108153,CP108154",SAMN24016174,chromosome,linear,npgm-contigger NBC_00164,2,0,1,9183674,9194696,25x,14084,240839651,6979012,99,8562,8174,"8, 8, 8 (5S, 16S, 23S)",75,71.52,355,352,3,1,0,356,173331.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,,,,,,,custom
NBC_00165,Streptomyces,glauciniger,CP108152,SAMN24016175,chromosome,linear,npgm-contigger NBC_00165,1,0,0,9542804,9542804,29x,17334,295951080,4483457,3022,8730,8365,"6, 6, 6 (5S, 16S, 23S)",76,72.16,355,351,4,1,0,356,102750.0,,Streptomyces,Streptomyces glauciniger,,Streptomyces glauciniger,,,,,,,custom
NBC_00168,Streptomyces,virginiae,"CP108148,CP108149,CP108150,CP108151",SAMN24016176,chromosome,linear,npgm-contigger NBC_00168,4,3,0,8837448,9008657,81x,13769,721822399,3661083,675,8332,8021,"7, 7, 7 (5S, 16S, 23S)",74,71.67,355,352,3,1,0,356,81483.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,,,,,,,custom
NBC_00169,Streptomyces,sp.,CP108147,SAMN24016177,chromosome,linear,npgm-contigger NBC_00169,1,0,0,10117317,10117317,36x,16537,374729344,1999763,3361,9034,8788,"6, 6, 6 (5S, 16S, 23S)",72,70.59,355,351,4,1,0,356,86057.0,,Streptomyces,Streptomyces sp016893485,,Streptomyces sp016893485,,,,,,,custom
NBC_00172,Streptomyces,sp.,CP108145,SAMN24016178,chromosome,linear,npgm-contigger NBC_00172,1,0,0,10121374,10121374,41x,17395,424624021,1611662,7523,9037,8787,"6, 6, 6 (5S, 16S, 23S)",72,70.59,355,351,4,1,0,356,88047.0,,Streptomyces,Streptomyces sp016893485,,Streptomyces sp016893485,,,,,,,custom
NBC_00179,Streptomyces,virginiae,CP108142,SAMN24016179,chromosome,linear,npgm-contigger NBC_00179,1,0,0,9252910,9252910,109x,16774,992937786,3631115,5610,8553,8185,"7, 7, 7 (5S, 16S, 23S)",78,71.55,355,352,3,1,0,356,147113.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,,,,,,,custom
NBC_00180,Streptomyces,sp.,"CP108140,CP108141",SAMN24016180,chromosome,linear,npgm-contigger NBC_00180,2,0,1,10011928,10015531,31x,20900,319183708,1569688,699,9070,8585,"6, 6, 6 (5S, 16S, 23S)",73,70.22,355,351,4,1,0,356,225734.0,,Streptomyces,Streptomyces sp.,sp_mash_018,Streptomyces sp. (sp_mash_018),,,,,,,custom
NBC_00183,Streptomyces,sp.,"JAPEML010000001,JAPEML010000002,JAPEML010000003,JAPEML010000004",SAMN24016181,near-complete,linear,flye-contigger NBC_00183,4,0,0,5197028,9751041,66x,10731,674528781,5610514,4,9008,8579,"6, 6, 6 (5S, 16S, 23S)",70,70.3,354,351,3,1,1,356,,,Streptomyces,Streptomyces sp.,sp_mash_002,Streptomyces sp. (sp_mash_002),GCA_026342695.1,Contig,JAPEML000000000,undefined,NBC_00183,Streptomyces sp. NBC_00183,custom
NBC_00185,[Kitasatospora],papulosa,"CP108135,CP108136",SAMN24016182,chromosome,linear,npgm-contigger NBC_00185,2,1,0,7580126,7697835,75x,17034,590255832,1223998,622,6879,6643,"6, 6, 6 (5S, 16S, 23S)",68,71.02,355,355,0,1,0,356,25188.0,,Streptomyces,Streptomyces papulosus,,Streptomyces papulosus,,,,,,,custom
NBC_00189,Streptomyces,tauricus,CP108133,SAMN24016183,chromosome,linear,flye-contigger NBC_00189,1,0,0,10308633,10308633,84x,13534,881469256,2579312,434,8841,8489,"6, 6, 6 (5S, 16S, 23S)",71,70.72,355,352,3,1,0,356,35780.0,,Streptomyces,Streptomyces tauricus,,Streptomyces tauricus,GCA_036204065.1,Complete genome,undefined,1,NBC_00189,Streptomyces tauricus,custom
NBC_00190,Streptomyces,sp.,"CP108131,CP108132",SAMN24016184,chromosome,linear,npgm-contigger NBC_00190,2,1,0,8633858,8893931,32x,11620,304181536,2854044,104,8257,7856,"7, 7, 7 (5S, 16S, 23S)",76,71.45,355,354,1,1,0,356,61858.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_024,Streptomyces sp. (sp_mash_024),GCA_036203305.1,Complete genome,undefined,2,NBC_00190,Streptomyces sp. NBC_00190,custom
NBC_00196,Microbispora,hainanensis,CP108129,SAMN24016185,chromosome,circular,flye-contigger NBC_00196,1,0,0,8855727,8855727,17x,22199,161796111,5814989,9,8024,7802,"5, 5, 5 (5S, 16S, 23S)",58,71.19,354,344,10,2,0,356,,,Microbispora,Microbispora hainanensis,,Microbispora hainanensis,,,,,,,custom
NBC_00200,Streptomyces,mirabilis,CP108127,SAMN24016186,chromosome,linear,npgm-contigger NBC_00200,1,0,0,12198498,12198498,19x,19268,245659905,5632779,67,11206,10489,"6, 6, 6 (5S, 16S, 23S)",76,70.1,354,350,4,2,0,356,448303.0,50.0,Streptomyces,Streptomyces mirabilis,,Streptomyces mirabilis,GCA_036202585.1,Complete genome,undefined,1,NBC_00200,Streptomyces mirabilis,custom
NBC_00207,Streptomyces,sp.,CP130715,SAMN24016187,chromosome,linear,npgm-contigger NBC_00207,1,0,0,9446829,9446829,114x,9471,548748337,2744137,395,8727,8384,"7, 7, 7 (5S, 16S, 23S)",74,71.76,356,353,3,0,0,356,224374.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_025,Streptomyces sp. (sp_mash_025),,,,,,,custom
NBC_00210,Streptomyces,sp.,CP108120,SAMN24016188,chromosome,linear,flye-contigger NBC_00210,1,0,0,8783391,8783391,37x,20902,334778495,4850915,47,7894,7511,"6, 6, 6 (5S, 16S, 23S)",67,69.57,355,354,1,1,0,356,12310.0,,Streptomyces,Streptomyces sp.,sp_mash_050,Streptomyces sp. (sp_mash_050),,,,,,,custom
NBC_00215,Streptomyces,chartreusis,CP108114,SAMN24016189,chromosome,linear,npgm-contigger NBC_00215,1,0,0,11080497,11080497,48x,17324,538708857,6293960,125,9820,9403,"6, 6, 6 (5S, 16S, 23S)",77,70.69,355,352,3,1,0,356,363638.0,,Streptomyces,Streptomyces chartreusis,,Streptomyces chartreusis,GCA_036010565.1,Complete genome,undefined,1,NBC_00215,Streptomyces chartreusis,custom
NBC_00217,Streptomyces,achromogenes,CP108113,SAMN24016191,chromosome,linear,npgm-contigger NBC_00217,1,0,0,10371570,10371570,99x,19165,762695365,5643953,874,9127,8751,"7, 7, 7 (5S, 16S, 23S)",80,72.37,354,294,60,1,1,356,2831910.0,,Streptomyces,Streptomyces achromogenes,,Streptomyces achromogenes,,,,,,,custom
NBC_00220,Streptomyces,virginiae,"CP108111,CP108112",SAMN24016192,chromosome,linear,npgm-contigger NBC_00220,2,1,0,9149801,9188645,53x,17393,490996090,4827309,3003,8422,8092,"7, 7, 7 (5S, 16S, 23S)",74,71.61,355,352,3,1,0,356,30079.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,,,,,,,custom
NBC_00226,Streptomyces,virginiae,"CP108103,CP108104",SAMN24016193,chromosome,linear,npgm-contigger NBC_00226,2,0,1,9005273,9016703,19x,7868,187880850,4259952,1142,8337,8048,"7, 7, 7 (5S, 16S, 23S)",73,71.61,355,352,3,1,0,356,88531.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,GCA_041435175.1,Complete genome,undefined,2,NBC 00226,Streptomyces virginiae,custom
NBC_00228,Streptomyces,sp.,CP108102,SAMN24016194,chromosome,linear,npgm-contigger NBC_00228,1,0,0,10117404,10117404,34x,16916,366547354,1580202,3390,9039,8787,"6, 6, 6 (5S, 16S, 23S)",72,70.59,355,351,4,1,0,356,86066.0,,Streptomyces,Streptomyces sp016893485,,Streptomyces sp016893485,GCA_036196325.1,Complete genome,undefined,1,NBC_00228,Streptomyces sp. NBC_00228,custom
NBC_00234,Streptomyces,sp.,CP108101,SAMN24016195,chromosome,circular,flye-contigger NBC_00234,1,0,0,8274316,8274316,96x,19212,821687568,4669015,81,7269,7042,"6, 6, 6 (5S, 16S, 23S)",67,70.6,355,355,0,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_173,Streptomyces sp. (sp_mash_173),GCA_036195325.1,Complete genome,undefined,1,NBC_00234,Streptomyces sp. NBC_00234,custom
NBC_00236,Streptomyces,sp.,CP108100,SAMN24016196,chromosome,linear,flye-contigger NBC_00236,1,0,0,8333111,8333111,15x,10768,131443764,3993634,184,7418,7168,"7, 7, 7 (5S, 16S, 23S)",72,70.83,355,353,2,1,0,356,11542.0,,Streptomyces,Streptomyces sp.,sp_mash_096,Streptomyces sp. (sp_mash_096),GCA_036195045.1,Complete genome,undefined,1,NBC_00236,Streptomyces sp. NBC_00236,custom
NBC_00238,Streptomyces,gancidicus,CP108344,SAMN24016197,chromosome,linear,flye-contigger NBC_00238,1,0,0,7518633,7518633,61x,8850,480834736,4445482,424,6835,6622,"6, 6, 6 (5S, 16S, 23S)",71,72.59,354,353,1,2,0,356,148.0,,Streptomyces,Streptomyces pseudogriseolus,,Streptomyces pseudogriseolus,GCA_036226325.1,Complete genome,undefined,1,NBC_00238,Streptomyces gancidicus,custom
NBC_00239,Streptomyces,sp.,"CP108095,CP108096,CP108097,CP108098,CP108099",SAMN24016198,chromosome,linear,flye-contigger NBC_00239,5,4,0,8511476,9315054,31x,22016,298421498,4626849,579,8322,8002,"8, 8, 8 (5S, 16S, 23S)",87,72.24,355,352,3,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_178,Streptomyces sp. (sp_mash_178),GCA_036194065.1,Complete genome,undefined,5,NBC_00239,Streptomyces sp. NBC_00239,custom
NBC_00240,Kitasatospora,sp.,"JAPEMU010000001,JAPEMU010000002,JAPEMU010000003,JAPEMU010000004,JAPEMU010000005,JAPEMU010000006,JAPEMU010000007,JAPEMU010000008,JAPEMU010000009",SAMN24016199,near-complete,linear,flye-contigger NBC_00240,9,0,0,9383457,10447031,57x,17172,615790392,5995661,1353,8938,8523,"9, 9, 9 (5S, 16S, 23S)",75,73.0,355,355,0,1,0,356,,,Kitasatospora,Kitasatospora sp.,sp_mash_086,Kitasatospora sp. (sp_mash_086),GCA_026342405.1,Contig,JAPEMU000000000,undefined,NBC_00240,Kitasatospora sp. NBC_00240,custom
NBC_00248,Streptomyces,virginiae,"CP108090,CP108091,CP108092",SAMN24016200,chromosome,linear,npgm-contigger NBC_00248,3,2,0,9293002,9393169,20x,16976,201518543,5701812,142,8735,8361,"7, 7, 7 (5S, 16S, 23S)",78,71.54,355,352,3,1,0,356,144526.0,,Streptomyces,Streptomyces virginiae_A,,Streptomyces virginiae_A,GCA_036193325.1,Complete genome,undefined,3,NBC_00248,Streptomyces virginiae,custom
NBC_00250,Streptomyces,sp.,"CP108088,CP108089",SAMN24016201,chromosome,linear,flye-contigger NBC_00250,2,1,0,9158577,9270399,113x,17969,1079042772,4389112,8805,8339,8010,"7, 7, 7 (5S, 16S, 23S)",72,71.53,355,351,4,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_041,Streptomyces sp. (sp_mash_041),GCA_036192275.1,Complete genome,undefined,2,NBC_00250,Streptomyces sp. NBC_00250,custom
NBC_00258,Streptomyces,sp.,CP108081,SAMN24016202,chromosome,linear,npgm-contigger NBC_00258,1,0,0,12223696,12223696,38x,13985,464105446,5259965,16,10851,10421,"6, 6, 6 (5S, 16S, 23S)",74,69.92,355,350,5,1,0,356,464996.0,,Streptomyces,Streptomyces sp007050945,,Streptomyces sp007050945,GCA_036182465.1,Complete genome,undefined,1,NBC_00258,Streptomyces sp. NBC_00258,custom
NBC_00259,Streptomyces,sp.,CP108080,SAMN24016203,chromosome,linear,flye-contigger NBC_00259,1,0,0,8164743,8164743,15x,10374,136153728,1719339,177,7322,7007,"6, 6, 6 (5S, 16S, 23S)",68,70.91,354,352,2,2,0,356,13721.0,,Streptomyces,Streptomyces sp.,sp_mash_038,Streptomyces sp. (sp_mash_038),GCA_036181745.1,Complete genome,undefined,1,NBC_00259,Streptomyces sp. NBC_00259,custom
NBC_00270,Streptomyces,caniferus,"CP108073,CP108074",SAMN24016205,chromosome,linear,flye-contigger NBC_00270,2,1,0,8848699,8971606,20x,25403,196192819,6236416,48,7951,7618,"7, 7, 7 (5S, 16S, 23S)",74,71.34,355,351,4,1,0,356,11707.0,50.0,Streptomyces,Streptomyces caniferus,,Streptomyces caniferus,GCA_036178885.1,Complete genome,undefined,2,NBC_00270,Streptomyces caniferus,custom
